Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.38471348915749287,0.5641394001183825,0.41155364911099107,0.19815694269957884,0.4250309862464122,0.5273961877594279,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,9.953910943000876,103.96099090576172,497.401305437088,100.48511220951272,100.3941297531128,96.65513038635254
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.36732564228366055,0.5459768467581426,0.3891299439093611,0.1822606095732985,0.40337033012944207,0.5113930027632637,0.3131513214720074,0.5060281595836382,0.5334157227125615,0.3140521815831526,0.5742402332389193,0.7255547687250709,9.183827192073487,112.75601387023926,539.1131045818329,108.91173829936018,108.84284973144531,103.86300086975098
CenterNet HourGlass104,1024x1024,Native FP32,0.39758519043186646,0.56453914139179,0.43570054099228867,0.247185859250505,0.43932038150893526,0.5134910674934138,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,3.5986600466059184,281.68249130249023,1375.5555033683777,277.89000068048034,277.82976627349854,273.7393379211426
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.3848170407520837,0.5512896137381423,0.4204090113843769,0.22896823588143872,0.4219678107031675,0.5130491937138987,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,3.3342718968481684,304.78525161743164,1484.6481235027313,299.9289138389356,299.9204397201538,293.44916343688965
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.275935822324346,0.4374503581514917,0.29119568508919014,0.11664229586128817,0.32513315068938187,0.40571718035517074,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,26.99921125273574,40.48323631286621,183.40837860107422,37.05219769718671,36.895751953125,35.91322898864746
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.2575985137380892,0.4209620021230145,0.27303119528280523,0.10990518211305116,0.29607689141275406,0.38343477911832097,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,23.524370431945393,46.62346839904785,210.56350469589233,42.53808175674593,42.4652099609375,39.26849365234375
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.3127763877440268,0.4788020403344509,0.33005857560335,0.12093280188380753,0.34924156315032084,0.467138361037316,0.29122158759389566,0.45412732248181387,0.47256801855509695,0.229270757896948,0.5060603936041328,0.6922749272039082,21.208486914619154,50.10032653808594,233.4609453678131,47.16382734703295,47.0045804977417,45.74775695800781
CenterNet Resnet50 V2,512x512,Native FP32,0.2623207995816659,0.4156818738800173,0.27756389507793916,0.09946317799441329,0.3153782364201641,0.3923036851088925,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,27.18923608096661,40.145158767700195,182.1513433456421,36.7982511809378,36.57948970794678,35.45999526977539
CenterNet Resnet50 V2 Keypoints,512x512,Native FP32,0.2449423026006451,0.40070995040871943,0.2558714530304066,0.08996752148924865,0.2896707340359698,0.38165047287985726,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,23.62673029410285,46.74530029296875,209.6968216896057,42.36299428072843,42.22893714904785,38.7723445892334
CenterNet\ MobileNetV2\ FPN,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
