Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.38471351256368413,0.5641394203907987,0.4115536515999415,0.19815689589379806,0.42503098581141946,0.5273961560497348,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,14.974107735370712,68.88389587402344,330.62358689308167,66.79264381678418,66.65551662445068,65.00935554504395
CenterNet HourGlass104,512x512,TF-TRT FP32,0.38471550015010547,0.5641422777766626,0.411556116669106,0.19815689379582077,0.4250309705930341,0.5273986842488319,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,17.302088053059116,60.814857482910156,286.1238076686859,57.802789428017356,57.71636962890625,56.85758590698242
CenterNet HourGlass104,512x512,TF-TRT FP16,0.38471550015010547,0.5641422777766626,0.411556116669106,0.19815689379582077,0.4250309705930341,0.5273986842488319,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,17.228095691201734,60.64867973327637,287.34923100471497,58.050349697922215,57.973265647888184,57.08789825439453
CenterNet HourGlass104,512x512,TF-TRT INT8,0.384715354475533,0.5641422230442973,0.4115558502382453,0.19815688822805608,0.4250309157563423,0.5273986743864237,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,17.147051861758975,60.6532096862793,288.7046101093292,58.324163658450345,58.24995040893555,57.22522735595703
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.36732538683196814,0.5459766023540912,0.38912994364040465,0.18225986086370696,0.4033703380958499,0.511392686961351,0.31315120548425573,0.5060280435958866,0.5334156067248098,0.31405189142530676,0.5742402332389193,0.7255547687250709,13.717895055275006,75.40750503540039,360.9262535572052,72.91439465802125,72.83163070678711,68.72296333312988
CenterNet HourGlass104 Keypoints,512x512,TF-TRT FP32,0.3673257137093637,0.5459768509844258,0.3891299495893084,0.1822606298747082,0.4033704061104392,0.5113928939430267,0.3131513214720074,0.5060281595836382,0.5334157227125615,0.3140521815831526,0.5742402332389193,0.7255547687250709,15.717851950745317,68.15576553344727,315.0119559764862,63.63877898514873,63.56203556060791,60.97221374511719
CenterNet HourGlass104 Keypoints,512x512,TF-TRT FP16,0.3673257137093637,0.5459768509844258,0.3891299495893084,0.1822606298747082,0.4033704061104392,0.5113928939430267,0.3131513214720074,0.5060281595836382,0.5334157227125615,0.3140521815831526,0.5742402332389193,0.7255547687250709,15.66733258963552,68.32170486450195,316.01726818084717,63.8418723597671,63.77458572387695,61.00606918334961
CenterNet HourGlass104 Keypoints,512x512,TF-TRT INT8,0.3673257137093637,0.5459768509844258,0.3891299495893084,0.1822606298747082,0.4033704061104392,0.5113928939430267,0.3131513214720074,0.5060281595836382,0.5334157227125615,0.3140521815831526,0.5742402332389193,0.7255547687250709,15.701592337537905,68.12000274658203,315.3234784603119,63.70171282026503,63.664913177490234,60.96982955932617
CenterNet HourGlass104,1024x1024,Native FP32,0.39758520288045585,0.5645391563121557,0.43570055827754783,0.24718585204119684,0.4393203881022695,0.5134911623056881,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,5.716126280544139,178.02739143371582,866.0161426067352,174.95275608216872,174.90863800048828,171.8587875366211
CenterNet HourGlass104,1024x1024,TF-TRT FP32,0.3975848013013666,0.5645384716610767,0.4356999173007182,0.2471859264974226,0.43932040507025305,0.5134902811871468,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,6.071466567303247,169.04282569885254,815.3191864490509,164.71094675738402,164.55984115600586,162.25910186767578
CenterNet HourGlass104,1024x1024,TF-TRT FP16,0.3975848013013666,0.5645384716610767,0.4356999173007182,0.2471859264974226,0.43932040507025305,0.5134902811871468,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,6.0720282245173065,168.96748542785645,815.2412638664246,164.6952048214999,164.56985473632812,162.18113899230957
CenterNet HourGlass104,1024x1024,TF-TRT INT8,0.3975848013013666,0.5645384716610767,0.4356999173007182,0.2471859264974226,0.43932040507025305,0.5134902811871468,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,6.073743339931186,168.72644424438477,815.0091307163239,164.64830923562099,164.53218460083008,162.1396541595459
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.38481737716250375,0.5512904185716837,0.42040929315320796,0.22896825985710242,0.42196782361961904,0.5130493496429925,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,5.252599650130198,194.6098804473877,942.4655997753143,190.39709086369984,190.43660163879395,184.23008918762207
CenterNet HourGlass104 Keypoints,1024x1024,TF-TRT FP32,0.38481710861371954,0.5512897864934825,0.42040918310410363,0.22896823240264583,0.4219678211760155,0.5130493602287538,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,5.563644951945181,185.02521514892578,889.7993321418762,179.75744083674266,179.6586513519287,173.48337173461914
CenterNet HourGlass104 Keypoints,1024x1024,TF-TRT FP16,0.3848170778642131,0.551289761103636,0.4204091354197151,0.22896823036371464,0.42196784585293823,0.5130490788012702,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,5.556915266917294,184.8459243774414,890.8674154281616,179.97321523801244,179.89444732666016,173.27189445495605
CenterNet HourGlass104 Keypoints,1024x1024,TF-TRT INT8,0.38481710861371954,0.5512897864934825,0.42040918310410363,0.22896823240264583,0.4219678211760155,0.5130493602287538,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,5.563006955549951,185.0414276123047,889.897213935852,179.77721493653576,179.67283725738525,173.6927032470703
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.2759358280005636,0.4374503340435941,0.2911956969809402,0.1166423070144099,0.3251331751096894,0.40571716826343457,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,38.855110679286746,28.83315086364746,127.45630264282227,25.748748008650963,25.649666786193848,24.820566177368164
CenterNet Resnet50 V1 FPN,512x512,TF-TRT FP32,0.2759357583560993,0.43745031647150534,0.2911956898953914,0.11664230145619957,0.32513317530693214,0.4057167263594607,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,40.23836012450048,27.566194534301758,123.0620186328888,24.86101386523006,24.78921413421631,24.19900894165039
CenterNet Resnet50 V1 FPN,512x512,TF-TRT FP16,0.2759357583560993,0.43745031647150534,0.2911956898953914,0.11664230145619957,0.32513317530693214,0.4057167263594607,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,40.195378074635144,29.032230377197266,123.2456545829773,24.898112036965113,24.751663208007812,24.129867553710938
CenterNet Resnet50 V1 FPN,512x512,TF-TRT INT8,0.27593578355679665,0.43745037479908555,0.29119570292572666,0.11664229858659243,0.32513317530693214,0.4057173353618785,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,40.18575953970434,29.120683670043945,123.28614807128906,24.906292539654356,24.738430976867676,24.115800857543945
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.2575985428083226,0.4209620913371389,0.2730312158364512,0.10990518165347868,0.29607689747698657,0.38343485880562833,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,33.87035294394626,32.714128494262695,146.26448249816895,29.54838030266039,29.505252838134766,26.892423629760742
CenterNet Resnet50 V1 FPN Keypoints,512x512,TF-TRT FP32,0.2575985746278719,0.42096220163561443,0.27303121338209513,0.10990518381400008,0.2960768906853919,0.38343485468246663,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,34.839028557494196,32.669782638549805,142.1966392993927,28.726593797857113,28.717637062072754,26.22532844543457
CenterNet Resnet50 V1 FPN Keypoints,512x512,TF-TRT FP16,0.25759854927053477,0.4209620613621347,0.27303126072497624,0.10990518155678186,0.2960768906853919,0.3834348288573729,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,34.88634019136425,32.974958419799805,142.01642489433289,28.690186847339977,28.66673469543457,26.15523338317871
CenterNet Resnet50 V1 FPN Keypoints,512x512,TF-TRT INT8,0.25759854927053477,0.4209620613621347,0.27303126072497624,0.10990518155678186,0.2960768906853919,0.3834348288573729,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,34.855502048266764,32.906293869018555,142.1552929878235,28.718241007641108,28.67746353149414,26.238203048706055
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.3127763790460012,0.47880212340145717,0.33005846971197944,0.12093277712969948,0.3492415650939517,0.46713833616011347,0.29122158759389566,0.45412732248181387,0.47256801855509695,0.229270757896948,0.5060603936041328,0.6922749272039082,31.628680448956057,34.165382385253906,156.5583152770996,31.627942480222146,31.533360481262207,30.49015998840332
CenterNet Resnet101 V1 FPN,512x512,TF-TRT FP32,0.31277605971508105,0.4788011786599028,0.3300580379655663,0.12093279955063344,0.34924144624373027,0.4671380297050133,0.29122158759389566,0.4541274384695656,0.4725681345428487,0.229270757896948,0.5060603936041328,0.6922753824114829,33.25160114082425,33.09893608093262,148.9055736064911,30.081934061917394,30.007004737854004,29.329776763916016
CenterNet Resnet101 V1 FPN,512x512,TF-TRT FP16,0.31277605971508105,0.4788011786599028,0.3300580379655663,0.12093279955063344,0.34924144624373027,0.4671380297050133,0.29122158759389566,0.4541274384695656,0.4725681345428487,0.229270757896948,0.5060603936041328,0.6922753824114829,33.28286437604829,31.85749053955078,148.75921201705933,30.05236606405239,29.994845390319824,29.316186904907227
CenterNet Resnet101 V1 FPN,512x512,TF-TRT INT8,0.31277605971508105,0.4788011786599028,0.3300580379655663,0.12093279955063344,0.34924144624373027,0.4671380297050133,0.29122158759389566,0.4541274384695656,0.4725681345428487,0.229270757896948,0.5060603936041328,0.6922753824114829,33.18930216521598,32.09877014160156,149.1769015789032,30.13674779371782,30.074119567871094,29.383420944213867
CenterNet Resnet50 V2,512x512,Native FP32,0.262320688921144,0.4156818582470902,0.27756358058027863,0.09946317799441329,0.31537822459200576,0.3923014768504942,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,39.54560204082552,28.662443161010742,125.24293065071106,25.3016021516588,25.19083023071289,24.34563636779785
CenterNet Resnet50 V2,512x512,TF-TRT FP32,0.26232068768022077,0.41568184568005684,0.27756358041546825,0.09946317799441329,0.31537823519299385,0.39230146888571354,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,41.39284670383566,27.404308319091797,119.6394624710083,24.169588377981476,24.08599853515625,23.472070693969727
CenterNet Resnet50 V2,512x512,TF-TRT FP16,0.2623206874484244,0.4156818464999861,0.2775635803412135,0.09946317799441329,0.31537823632929635,0.3923014731045923,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,41.16044494691197,27.19402313232422,120.31567287445068,24.306196540293065,24.22654628753662,23.522377014160156
CenterNet Resnet50 V2,512x512,TF-TRT INT8,0.2623206933654533,0.4156818757853276,0.27756358069494474,0.09946317799441329,0.31537823519299385,0.3923014747634007,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,41.35173716598445,28.197765350341797,119.78494262695312,24.19897830847538,24.084806442260742,23.377180099487305
CenterNet Resnet50 V2 Keypoints,512x512,Native FP32,0.2449421358996431,0.4007099498440944,0.25587145938818456,0.08996751467134198,0.28967072307095726,0.38165049561827497,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,34.41241627128215,32.6991081237793,143.99440693855286,29.08977917950563,28.999805450439453,26.54409408569336
CenterNet Resnet50 V2 Keypoints,512x512,TF-TRT FP32,0.24494142498995067,0.4007089372638698,0.25587084970600776,0.08996751507018705,0.28966540641532657,0.38165030941048306,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,35.571855436907384,32.09328651428223,139.2864716053009,28.138681132384022,28.15544605255127,25.768756866455078
CenterNet Resnet50 V2 Keypoints,512x512,TF-TRT FP16,0.24494135260680303,0.4007080511777058,0.2558708829608435,0.08996751467134198,0.28966545720924886,0.3816505016342611,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,35.622408209981494,32.25994110107422,139.09929895401,28.100868475557576,28.0991792678833,25.656461715698242
CenterNet Resnet50 V2 Keypoints,512x512,TF-TRT INT8,0.24494135313708995,0.4007080483578909,0.2558709062863492,0.08996751467134198,0.2896654636858992,0.3816505414451027,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,35.57328823562698,32.47952461242676,139.30230903625488,28.141880613384824,28.139233589172363,25.699138641357422
CenterNet\ MobileNetV2\ FPN,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,TF-TRT FP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,Native FP32,0.3281948340147128,0.516172019853744,0.3442289829939967,0.14353994133988088,0.36891025425948804,0.502162755995965,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,7.707215576384032,153.1972885131836,645.5402672290802,130.41217519779397,129.9607753753662,103.54089736938477
EfficientDet D0,512x512,TF-TRT FP32,0.3281947540956425,0.5161719927565711,0.34422899038882304,0.14353994151471483,0.36891025688581086,0.5021627570489935,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,8.014422207219857,146.6805934906006,620.8800935745239,125.43032193424725,124.99523162841797,100.37708282470703
EfficientDet D0,512x512,TF-TRT FP16,0.3281947540956425,0.5161719927565711,0.34422899038882304,0.14353994151471483,0.36891025688581086,0.5021627570489935,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,8.01465038962542,148.8659381866455,621.0967125892639,125.47408335136645,124.89676475524902,100.72016716003418
EfficientDet D0,512x512,TF-TRT INT8,0.3281947540956425,0.5161719927565711,0.34422899038882304,0.14353994151471483,0.36891025688581086,0.5021627570489935,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,7.8728095332303285,150.84600448608398,632.2433915138245,127.7259376795605,127.17509269714355,100.90088844299316
