Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet\ HourGlass104,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ HourGlass104\ Keypoints,1024x1024,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V1\ FPN\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet101\ V1\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ Resnet50\ V2\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,TF-TRT FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,TF-TRT FP32,0.3281947537676837,0.5161719933067932,0.34422899319809275,0.1435399505801847,0.3689102720266996,0.5021627562589563,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,8.510051249758272,141.07179641723633,587.9401574134827,118.77578937646115,117.81632900238037,88.3936882019043
EfficientDet D0,512x512,TF-TRT FP16,0.3281500702399283,0.5160322855705566,0.3444108594247907,0.14352825908392552,0.36894957972540343,0.5019052786722054,0.28675429282048265,0.44111598644526423,0.4686904121665823,0.2312396593421636,0.53215151372394,0.6798097701378307,8.532531258581557,139.9996280670166,583.768328666687,117.93299569023979,117.39349365234375,87.52560615539551
