Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.384713489157493,0.564139400118382,0.411553649110991,0.198156942699579,0.425030986246412,0.527396187759428,0.324763829786489,0.526984082905496,0.555941778167757,0.332731259844162,0.605568706845888,0.741189309413038,6.7992279520675,172.576189041138,730.402698993683,147.556100806805,143.552184104919,133.680820465088
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.367325642283661,0.545976846758143,0.389129943909361,0.182260609573299,0.403370330129442,0.511393002763264,0.313151321472007,0.506028159583638,0.533415722712562,0.314052181583153,0.574240233238919,0.725554768725071,6.49464715192063,175.283432006836,762.803338289261,154.101684502881,153.144001960754,143.602609634399
CenterNet HourGlass104,1024x1024,Native FP32,0.397585190431866,0.56453914139179,0.435700540992289,0.247185859250505,0.439320381508935,0.513491067493414,0.336257134497262,0.558438818273258,0.596532226527905,0.40475271472836,0.63342012561713,0.755601940023387,2.24780433524297,502.482891082764,2210.19709444046,446.504463523325,441.560626029968,408.473491668701
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.384817040752084,0.551289613738142,0.420409011384377,0.228968235881439,0.421967810703168,0.513049193713899,0.328917548944252,0.542247553227524,0.578135666064455,0.385020520923883,0.615138366784985,0.740736486276787,2.19732948385716,507.328033447266,2253.55343127251,455.263319448991,453.770041465759,436.403751373291
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.275935822324346,0.437450358151492,0.29119568508919,0.116642295861288,0.325133150689382,0.405717180355171,0.269788584992183,0.433389984021092,0.454548185374958,0.229452898930302,0.4926205478004,0.648344231809442,24.9849138044921,42.4649715423584,198.212142467499,40.0428570641412,39.724588394165,38.1538867950439
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.257598513738089,0.420962002123015,0.273031195282805,0.109905182113051,0.296076891412754,0.383434779118321,0.255246592507027,0.411597509891648,0.430887861900756,0.217384877510097,0.467114694903146,0.612795350503197,21.086876633741,50.7428646087647,234.928534269333,47.4603099534006,47.2507476806641,43.027400970459
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.312776387744027,0.478802040334451,0.33005857560335,0.120932801883808,0.349241563150321,0.467138361037316,0.291221587593896,0.454127322481814,0.472568018555097,0.229270757896948,0.506060393604133,0.692274927203908,17.8028421610951,59.373140335083,278.187981367111,56.199592195376,55.9160709381104,53.2288551330566
CenterNet Resnet50 V2,512x512,Native FP32,0.262320690134761,0.415681874751937,0.27756358131868,0.099463177994413,0.315378237305943,0.392301465724676,0.263255017849019,0.414381345403582,0.432726551898333,0.183358567573021,0.47587056334237,0.65319814225595,26.6739771591862,40.0886535644531,185.678221702576,37.5107518591062,37.1885299682617,35.801887512207
CenterNet Resnet50 V2 Keypoints,512x512,Native FP32,0.244941491919987,0.40070805008847,0.255870864351311,0.089967521553791,0.289667716884016,0.38165048689696,0.250381593261614,0.395509196836968,0.412005498494241,0.176364513868132,0.451392665630684,0.630041362397368,22.7662007748897,47.5680828094482,217.651209831238,43.969941380048,43.785572052002,39.8802757263184
CenterNet\ MobileNetV2\ FPN,512x512,FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,Native FP32,0.328194582227058,0.516171809950603,0.344227701707274,0.143539675639374,0.36891015113137,0.502162615703469,0.286836055019856,0.441094050531868,0.468676570750411,0.23157514584274,0.531909776855719,0.679824083667422,15.5472978367486,82.775354385376,320.937272310257,64.8358125879307,63.6287927627564,51.7385005950928
EfficientDet D1,640x640,Native FP32,0.366345549112739,0.559998756410556,0.38808556711667,0.169675858785394,0.406464796673913,0.543110971132468,0.309590395690284,0.482063948447514,0.512349831726,0.277966808185785,0.56648871219866,0.713755478182133,10.0084808159912,117.11049079895,496.404669523239,100.283771620856,99.5457172393799,85.4077339172363
EfficientDet D2,768x768,Native FP32,0.398372088686134,0.594473198482076,0.423921633093147,0.209833714202654,0.444070796679782,0.561046039441725,0.332031123807836,0.517390805502908,0.550716539467129,0.336429898031353,0.601471478535663,0.739210952160617,7.29986232326345,155.606746673584,679.763418912888,137.325943214725,136.56222820282,120.493650436401
EfficientDet D3,896x896,Native FP32,0.424787441348802,0.621898933120789,0.453975205665765,0.247589833723067,0.463558588763638,0.583531863387259,0.341246575915594,0.543356139277657,0.578096872897309,0.373134459278225,0.625756762192306,0.750121023643906,4.74332612351622,233.548164367676,1044.83899855614,211.078585566896,210.309028625488,192.272424697876
EfficientDet D4,1024x1024,Native FP32,0.456450632319244,0.662737935447274,0.489836223390963,0.291668947909865,0.500057333016062,0.615292451899909,0.35685957335357,0.5692696199224,0.605360592892239,0.430612513485819,0.651215217725562,0.768989616093718,3.02059238935939,358.022451400757,1639.74271225929,331.261153991776,330.493927001953,306.758642196655
EfficientDet D5,1280x1280,Native FP32,0.461402963562331,0.666356727227853,0.497402754828621,0.296275183037776,0.506402437013538,0.608140568061619,0.359114483240893,0.581995334057758,0.619018700728514,0.442998978363507,0.663860934734047,0.771680980620889,1.6326013935581,649.515867233276,3032.79202461243,612.68525749746,611.117243766785,587.525606155396
EfficientDet D6,1280x1280,Native FP32,0.465974118738938,0.670415752757868,0.501880558401017,0.312946351761793,0.51489630929027,0.603305365304591,0.362391622724405,0.588203309232668,0.625491998237771,0.458493252162249,0.670483922634212,0.776131286719464,1.36072785127879,781.766891479492,3638.71991491318,735.094932305692,732.772707939148,705.746412277222
EfficientDet D7,1536x1536,Native FP32,0.477460935172999,0.681363092679728,0.511925683371272,0.317405483132068,0.520658421261553,0.628571938715145,0.367201846066743,0.594287233395286,0.631701173211535,0.464921072776717,0.676015817327944,0.78707691444967,1.12747078139563,926.060914993286,4390.98317718506,887.067308522234,885.682821273804,855.670213699341
SSD MobileNet v2,320x320,Native FP32,0.200197405569123,0.345520948855221,0.199133340889667,0.022952871168542,0.172423778370156,0.413392910853227,0.212485437714547,0.325134245189032,0.3444105789937,0.068603466253559,0.351331631539437,0.654303641812976,28.9870535319191,41.2018299102783,172.181376218796,34.7841164078375,35.2741479873657,21.9926834106445
SSD MobileNet V1 FPN,640x640,Native FP32,0.28674634586053,0.461086088200696,0.305215674669854,0.131391123736355,0.312544920928009,0.415053584057467,0.268250260495103,0.433761795156381,0.468511501071743,0.238515334130827,0.510259996240069,0.662240773426762,13.5783970676977,83.1654071807861,365.43718624115,73.8256941901313,73.6706256866455,62.0601177215576
SSD MobileNet V2 FPNLite,320x320,Native FP32,0.220967567372955,0.372535889428166,0.228099848586479,0.051208052536413,0.233946642412203,0.384904981429303,0.217726516169221,0.336164852091809,0.362189673830784,0.077682278107885,0.418058118099643,0.608340305287167,26.0642433174754,47.9230880737305,193.637039661407,39.1185938709914,41.0981178283691,25.6023406982422
